No.,Time,Source,Destination,Protocol,Length,Info,Label
5497,71.99467725,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=201 Ack=174 Win=64896 Len=0 TSval=1741425996 TSecr=1260204025,0
5498,71.99680727,10.244.0.10,10.244.0.19,TCP,83,"8000  >  52250 [PSH, ACK] Seq=174 Ack=201 Win=64256 Len=17 TSval=1260204027 TSecr=1741425996",0
5499,71.99682654,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=201 Ack=191 Win=64896 Len=0 TSval=1741425998 TSecr=1260204027,0
5500,71.99853519,10.244.0.19,10.244.0.10,TCP,66,"52250  >  8000 [FIN, ACK] Seq=201 Ack=191 Win=64896 Len=0 TSval=1741426000 TSecr=1260204027",0
5501,71.9990663,10.244.0.19,10.244.0.9,TCP,210,"8000  >  36774 [PSH, ACK] Seq=62 Ack=1287 Win=64128 Len=144 TSval=376899246 TSecr=1107148714",0
5502,71.9991027,10.244.0.9,10.244.0.19,TCP,66,36774  >  8000 [ACK] Seq=1287 Ack=206 Win=64768 Len=0 TSval=1107150453 TSecr=376899246,0
5503,71.999354,10.10.4.101,10.10.4.1,PFCP,1143,PFCP Session Establishment Request,0
5504,72.00116688,10.244.0.10,10.244.0.19,TCP,66,"8000  >  52250 [FIN, ACK] Seq=191 Ack=202 Win=64256 Len=0 TSval=1260204031 TSecr=1741426000",0
5505,72.00118999,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=202 Ack=192 Win=64896 Len=0 TSval=1741426002 TSecr=1260204031,0
5506,72.0039111,10.244.0.19,10.244.0.9,TCP,275,"8000  >  36774 [PSH, ACK] Seq=206 Ack=1287 Win=64128 Len=209 TSval=376899251 TSecr=1107150453",0
5507,72.00395228,10.244.0.9,10.244.0.19,TCP,66,36774  >  8000 [ACK] Seq=1287 Ack=415 Win=64640 Len=0 TSval=1107150458 TSecr=376899251,0
5508,72.07543359,10.244.0.9,10.244.0.2,DNS,106,Standard query 0x8a76 A smf2-nsmf.free5gc.svc.cluster.local OPT,0
5509,72.07601788,10.244.0.9,10.244.0.3,DNS,106,Standard query 0x6248 AAAA smf2-nsmf.free5gc.svc.cluster.local OPT,0
